nombre,nombre_corto,correo,web
Internal admin authority,"",contacto@quesabes.org,""
Gobierno Ministerio del Interior Direccion Nacional de Identificacion Civil,icivil,rrpp@dnic.gub.uy,""
Oficina de Planeamiento y Presupuesto,opp,direccion@opp.gub.uy,""
Banco Central del Uruguay,bcu,silveira@bcu.gub.uy,""
Suprema Corte de Justicia,SCJ,secgutierrez@poderjudicial.gub.uy,www.poderjudicial.gub.uy
Comision Administradora del Poder Legislativo,cadministradora,protocolo@parlamento.gub.uy,""
Direccion Nacional de Bomberos,bomberos,director.nacional@bomberos.gub.uy,""
Administración Nacional de Educación Pública,ANEP,contacto@anep.edu.uy,http://www.anep.edu.uy
Camara de Diputados,Diputados,jorrico@diputados.gub.uy,""
Intendencia de Maldonado,"",info@maldonado.gub.uy,http://www.maldonado.gub.uy/
Fondo Nacional de Recursos,FNR,fnr@fnr.gub.uy,""
Instituto Nacional del Nino y el Adolescente del Uruguay,inau,presidencia@inau.gub.uy,www.inau.gub.uy
Tribunal de Cuentas,tcr,tribunal@tcr.gub.uy,""
Congreso de Intendentes,Congresointendentes,congreso.secretaria@ci.gub.uy,www.ci.gub.uy
Intendencia de Canelones,ICanelones,intendente@imcanelones.gub.uy,http://www.imcanelones.gub.uy
"Administracion Nacional de Combustible, Alcoholes y Portland",ANCAP,ComisionLeyInformacionPublica@ancap.com.uy,""
DATA,datauy,gabelula@gmail.com,quesabes.org
Banco República Oriental del Uruguay,"BROU, Banco República",informacioncorporativa@brou.com.uy,http://www.bancorepublica.com.uy
Casa Militar,casamilitar,casamilsec1@presidencia.gub.uy,""
Presidencia,presidencia,secsec@presidencia.gub.uy,""
Intendencia Municipal Montevideo,imm,derechoalainformacion@imm.gub.uy,""
Junta Departamental de Montevideo,JuntaMontevideo,presidencia@juntamvd.gub.uy,""
Corte Electoral,electoral,rherbert@corteelectoral.gub.uy,""
Facultad de Arquitectura,FacArq,contacto@farq.edu.uy,""
Banco Hipotecario del Uruguay,BHU,info@bhu.com.uy,""
Ministerio de Transporte y Obras Públicas,mtop,ministro@mtop.gub.uy,""
Facultad de Psicologia,Facultad de psicologia,decanato@psico.edu.uy,""
Instituto Nacional de Estadistica,ine,secretaria@ine.gub.uy,""
Ministerio de Economia y Finanzas,mef,atencion.usuario@mef.gub.uy,""
Ministerio de Ganaderia Agricultura y Pesca,mgap,ministro@mgap.gub.uy,""
Ministerio de Relaciones Exteiores,exteriores,sm@mrree.gub.uy,""
Oficina Nacional del Servicio Civil,onsc,observatorio@onsc.gub.uy,""
Sanidad Policial,sanidad,sdna@sanidadpolicial.gub.uy,""
Servicio de Retiros y Pensiones de las Fuerzas Armadas,srpffaa,srpffaa@srpffaa.gub.uy,""
Unidad de Acceso a la Información Pública,uaip,infouaip@agesic.gub.uy,""
Unidad Nacional de Seguridad Vial,unasev,unasev@presidencia.gub.uy,""
Unidad Reguladora de Energia y Agua,urea,consultas@ursea.gub.uy,""
Unidad Reguladora de Servicios de Comunicaciones,ursc,ursec@ursec.gub.uy,""
Unidad Reguladora y de Control de Datos Personales,urcdp,infourcdp@agesic.gub.uy,""
Zona Francas,zf,zonasfrancas@zfrancas.gub.uy,""
Direccion Nacional de Sanidad  de las  Fuerzas Armadas,sanidadffaa,jrrpp@dnsffaa.gub.uy,""
Ministerio de Defensa,defensa,ministro@mdn.gub.uy,""
"Ministerio de Industria, Energia  Mineria",miem,direccion.general@miem.gub.uy,""
Consulado de Uruguay en Sydney,Conssyd,curuguay@bigpond.net.au,""
Junta Nacional de Drogas,"",jnd@presidencia.gub.uy,www.infodrogas.gub.uy
Embajada de la Republica Oriental del Uruguay ante Australia y Nueva Zelandia,EmbAustralia,urucan@iimetro.com.au,""
Dirección Nacional de Propiedad Industrial,dinapi,secretaria@dnpi.miem.gub.uy,""
Contaduria General de la Nacion,cgn,direccion@cgn.gub.uy,""
Fuerza Aerea,aerea,cjfau@adinet.com.uy,""
Direccion Nacional de Aduanas,aduanas,norma.locatelli@aduanas.gub.uy,""
Ministerio del Interior,interior,unicom@minterior.gub.uy,""
Direccion Nacional de Casinos,casinos,secdir@casinos.gub.uy,""
Dirección Nacional de la Pequeña y Mediana Empresa,dinapyme,informacion@dinapyme.miem.gub.uy,""
Ministerio de Desarrollo Social,Mides,seginfo@mides.gub.uy,www.mides.gub.uy
Ministerio  Defensa Nacional Ejercito,ejercito,admdptocomsocial@ejercito.mil.uy,""
Dirección Nacional de Telecomunicaciones,Telecomunicaciones,secretaria@dinatel.miem.gub.uy,""
Direccion Nacional de Policia Caminera,Caminera,dnpc-subdirector@minterior.gub.uy,""
Administración Nacional de Usinas y Trasmisiones Eléctricas,UTE,ute@ute.com.uy,www.ute.com.uy
Agencia para el Gobierno Electronico y la Sociedad de la Informacion,agesic,secretariageneral@agesic.gub.uy,http://www.agesic.gub.uy
Corporacion Nacional para el Desarrollo,CND,cnd@cnd.org.uy,""
Ministerio de Turismo y Deporte,mtd,lkechichian@mintur.gub.uy,""
Direccion Nacional de Catastro,catastro,samado@catastro.gub.uy,""
Dirección Nacional de Energía,energia,secretaria@dne.miem.gub.uy,""
Direccion Nacional de Industria,industria,secretaria@dni.miem.gub.uy,""
Obras Sanitarias del Estado,OSE,info@ose.com.uy,http://ose.com.uy
Dirección Nacional de Deporte,Deporte,e.irurueta@deporte.gub.uy,""
Agencia Reguladora de Radio Difusión,arrd,secretaria@arnr.miem.gub.uy,""
Armada Nacional,armada,secar@armada.mil.uy,""
Auditoria Interna de la Nacion,ain,ain@ain.gub.uy,""
Defensa del Consumidor,consumidor,ana.sanchez@defcon.gub.uy,""
Direccion General de Impositiva,dgi,secreta@dgi.gub.uy,""
Direccion Nacional de Mineria,mineria,secretaria@dinamige.miem.gub.uy,""
Junta de Transparencia y Etica Publica,jutep,secretaria@jutep.gub.uy,""
Ministerio de Educación y Cultura,mec,ministro@mec.gub.uy,""
Television Nacional del Uruguay,tnu,direccion@tnu.com.uy,""
Ministerio de Trabajo y Seguridad Social,mtss,ministromtss@mtss.gub.uy,""
Dirección Nacional de Hidrografía,hidrografia,direccion@dnh.gub.uy,""
Instituto de Investigaciones Biológicas Clemente Estable,clementeestable,admin@iibce.edu.uy,""
Tribunal contencioso administrativo,TCA,jmata@tca.gub.uy,""
Dirección Nacional Arquitectura,arquitectura,jlimavalverde@dnamtop.gub.uy,""
SODRE,sodre,sodre@adinet.com.uy,""
Ministerio de Vivienda Ordenamiento Territorial y Medio Ambiente,mvotma,aviglione@mvotma.gub.uy,""
Direccion Contralor de Semovientes,DICOSE,dicose@mgap.gub.uy,http://www.mgap.gub.uy/DGSG/DICOSE/dicose.htm
Dirección Nacional de Vialidad,vialidad,secres@dnv.gub.uy,""
Ministerio de Salud Publica,salud publica,subsecretario@msp.gub.uy,""
Camara de Senadores,Senadores,prensacss@parlamento.gub.uy,""
Pluna Ente Autonomo,Pluna,mminetti@plunaea.com.uy,http://www.plunaea.com.uy/
ANTEL,"",prensa@antel.com.uy,http://antel.com.uy
Dirección Nacional de Topografía,topografia,jfranco@dntopografia.gub.uy,""
Museo Nacional de Artes Visuales,mnav,secretaria@mnav.gub.uy,""
Archivo General de la Nación,agn,direccion@agn.gub.uy,""
Dirección Nacional Cultura Científica,cientifica,direccion@dicyt.gub.uy,""
Dirección Nacional de Transporte,transporte,infodnt@dnt.gub.uy,""
Direcion Nacional de Registro,registro,info@dgr.gub.uy,""
